x,z,r00,r02,v_l,v_r
-216.919,-3582.87,0.394066,-0.919082,15.5239,15.7194
-225.785,-3579,0.405177,-0.914238,15.4811,15.8158
-234.903,-3574.9,0.417851,-0.908515,15.5073,15.8432
-243.961,-3570.62,0.437228,-0.899351,15.534,15.8701
-252.661,-3566.29,0.455866,-0.890049,15.5605,15.8972
-261.561,-3561.61,0.474906,-0.880036,15.5868,15.9242
-270.373,-3556.74,0.493764,-0.869596,15.6135,15.9509
-278.821,-3551.84,0.511843,-0.859079,15.6674,15.95
-287.447,-3546.58,0.52981,-0.848116,15.8195,15.8602
-295.985,-3541.15,0.543035,-0.83971,15.7526,15.9796
-304.492,-3535.63,0.546779,-0.837277,15.8067,15.9777
-312.958,-3530.02,0.558417,-0.829561,16.0045,15.8473
-321.107,-3524.47,0.564475,-0.82545,15.8803,16.0234
-329.549,-3518.76,0.558636,-0.829413,15.9204,16.0352
-337.993,-3513.02,0.565976,-0.824422,15.967,16.0422
-346.143,-3507.38,0.571505,-0.820599,16.0994,15.9736
-354.8,-3501.33,0.573926,-0.818907,15.9758,16.1489
-363.228,-3495.46,0.570264,-0.821461,16.0157,16.1605
-371.382,-3489.74,0.578815,-0.815459,16.0776,16.1535
-379.754,-3483.74,0.585789,-0.810464,16.1169,16.1701
-387.84,-3477.87,0.589447,-0.807807,16.4635,15.8821
-396.18,-3471.77,0.587067,-0.809538,16.4301,15.9684
-404.665,-3465.84,0.557538,-0.830152,16.5,15.9517
-413.353,-3460.18,0.532037,-0.846721,16.5271,15.9778
-421.956,-3454.96,0.502946,-0.864318,16.5538,16.0044
-431.032,-3449.88,0.472255,-0.881462,16.5095,16.1008
-440.297,-3445.11,0.442237,-0.896898,16.4775,16.1841
-449.418,-3440.75,0.420421,-0.907329,16.5031,16.2097
-458.941,-3436.43,0.40331,-0.915063,16.485,16.2785
-468.256,-3432.42,0.387236,-0.921981,16.4217,16.3921
-477.949,-3428.42,0.376657,-0.926353,16.4468,16.4172
-487.681,-3424.47,0.374898,-0.927066,16.4126,16.5017
-497.436,-3420.54,0.37424,-0.927332,16.4226,16.5417
-506.889,-3416.69,0.379579,-0.925159,16.6377,16.3944
-516.637,-3412.66,0.383277,-0.923633,16.4665,16.6157
-526.431,-3408.67,0.372493,-0.928035,16.4911,16.6409
-536.239,-3404.69,0.381343,-0.924434,16.516,16.6658
-545.719,-3400.73,0.389911,-0.920853,16.5259,16.7059
-555.479,-3396.54,0.398998,-0.916952,16.785,16.5181
-564.907,-3392.38,0.405941,-0.913899,16.5861,16.7667
-574.681,-3388.13,0.394387,-0.918945,16.6407,16.7615
-584.468,-3383.87,0.404437,-0.914566,17.0282,16.4565
-593.926,-3379.65,0.406219,-0.913776,16.7065,16.8277
-603.791,-3375.46,0.378942,-0.92542,16.7006,16.8828
-613.708,-3371.36,0.386673,-0.922217,17.1044,16.5582
-623.291,-3367.28,0.391711,-0.920088,16.8102,16.9017
-633.27,-3363.22,0.365259,-0.930906,16.7584,17.0026
-643.303,-3359.25,0.372122,-0.928184,16.7522,17.058
-652.991,-3355.29,0.386585,-0.922254,17.046,16.838
-662.934,-3351.02,0.399854,-0.916579,16.8134,17.1197
-672.899,-3346.74,0.392356,-0.919813,16.8379,17.1444
-682.849,-3342.39,0.410317,-0.911943,16.9076,17.1233
-692.419,-3337.98,0.426749,-0.90437,16.9011,17.1786
-702.239,-3333.27,0.43975,-0.89812,17.1857,16.9662
-711.997,-3328.39,0.451201,-0.892422,17.0071,17.1931
